name
Alba
Arad
Arge_
Bac_u
Bihor
Bistri_a-N_s_ud
Boto_ani
Bra_ov
Br_ila
Buz_u
Cara_-Severin
C_l_ra_i
Cluj
Constan_a
Covasna
D‰mbovi_a
Dolj
Gala_i
Giurgiu
Gorj
Harghita
Hunedoara
Ialomi_a
Ia_i
Ilfov
Maramure_
Mehedin_i
Mure_
Neam_
Olt
Prahova
S_laj
Satu Mare
Sibiu
Suceava
Teleorman
Timi_
Tulcea
Vaslui
V‰lcea
Vrancea
Bucure_ti
